pid,trips,bevs,num_segments
c_1,"485","0","4406"
c_2,"0","0","1940"
c_3,"0","0","638"
c_4,"18","0","3282"
c_5,"7800","56","5516"
c_6,"7344","44","14050"
c_7,"228","0","15266"
c_8,"3069","3","10734"
c_9,"232","0","11678"
c_10,"0","0","7536"
c_11,"8","0","872"
c_12,"524","0","4260"
c_13,"145","0","2582"
c_14,"146","0","2906"
c_15,"1539","0","27336"
c_16,"23","0","2314"
c_17,"612","1","4460"
c_18,"833","0","12108"
c_19,"74","0","5182"
c_20,"664","0","9686"
c_21,"821","0","11656"
c_22,"2","0","3024"
c_23,"1040","0","8020"
c_24,"2","0","3024"
c_25,"165","0","3180"
c_26,"165","0","3180"
c_27,"2","0","3472"
c_28,"481","0","4588"
c_29,"122","0","16960"
c_30,"877","0","18856"
c_31,"974","0","19424"
c_32,"2658","0","17822"
c_33,"282","0","6908"
c_34,"29","0","8816"
c_35,"41","0","9524"
c_36,"12","0","6400"
c_37,"282","0","6542"
c_38,"288","0","8490"
c_39,"564","1","10304"
c_40,"2233","1","7018"
c_41,"1378","0","35014"
c_42,"1023","0","24594"
c_43,"0","0","638"
c_44,"128","0","15372"
c_45,"441","0","4734"
u_1,"0","0","4244"
u_2,"827","0","7976"
u_3,"4839","2","17776"
u_4,"3224","6","14874"
u_5,"2091","1","18956"
u_6,"18","0","5102"
u_7,"13495","80","20568"
u_8,"405","0","8620"
u_9,"992","0","15976"
u_10,"13","0","1902"
u_11,"45554","99","21132"
u_12,"77853","1337","37114"
u_13,"1501","0","10102"
u_14,"403","0","12626"
u_15,"3781","0","43816"
u_16,"1220","0","20596"
u_17,"8422","61","8620"
u_18,"161574","729","70554"
u_19,"2582","0","38050"
u_20,"267","0","4130"
u_21,"442","0","3950"
u_22,"20305","34","6498"
u_24,"30","0","3394"
u_25,"17","0","4860"
u_26,"480","0","9748"
u_27,"2715","1","23130"
u_28,"14722","139","45154"
u_29,"1690","1","18916"
u_30,"11792","78","15634"
c_add_1,"0","0","3666"
c_add_2,"578","0","3660"
c_add_3,"31","0","2376"
c_add_4,"1495","1","16236"
c_add_5,"546","0","21612"
c_add_6,"205","0","15554"
c_add_7,"2","0","8278"
c_add_8,"524","0","4260"
c_add_9,"13","0","1902"
u_add_1,"17380","33","31130"
u_add_2,"384523","7814","79570"
u_add_3,"138122","480","67902"
u_add_4,"9764","64","12084"
u_add_5,"3333","6","15494"
u_add_6,"45559","99","20470"
