full name,name,description
Fuel Type Code,fuel_type_code,
Station Name,station_name,Station name
Street Address,street_address,
Intersection Directions,intersection_directions,
City,city,City
State,state,State
ZIP,zip,ZIP code
Plus4,plus4,
Station Phone,station_phone,
Status Code,status_code,
Expected Date,expected_date,
Groups With Access Code,groups_with_access_code,
Access Days Time,access_days_time,
Cards Accepted,cards_accepted,
BD Blends,bd_blends,
NG Fill Type Code,ng_fill_type_code,
NG PSI,ng_psi,
EV Level1 EVSE Num,l1_count,Number of Level 1 charging plugs
EV Level2 EVSE Num,l2_count,Number of Level 2 charging plugs
EV DC Fast Count,dcfc_count,Number of DCFC charging plugs
EV Other Info,ev_other_info,
EV Network,ev_network,
EV Network Web,ev_network_web,
Geocode Status,geocode_status,
Latitude,latitude,
Longitude,longitude,
Date Last Confirmed,date_last_confirmed,
ID,ID,
Updated At,updated_at,
Owner Type Code,owner_type_code,
Federal Agency ID,federal_agency_ID,
Federal Agency Name,federal_agency_name,
Open Date,open_date,Opening date
Hydrogen Status Link,hydrogen_status_link,
NG Vehicle Class,ng_vehicle_class,
LPG Primary,LPG_primary,
E85 Blender Pump,e_blender_pump,
EV Connector Types,ev_connector_types,
Country,country,
Intersection Directions (French),intersection_directions_french),
Access Days Time (French),access_days_time_french),
BD Blends (French),bd_blends_french),
Groups With Access Code (French),groups_with_access_code_french),
Hydrogen Is Retail,hydrogen_is_retail,
Access Code,access_code,
Access Detail Code,access_detail_code,
Federal Agency Code,federal_agency_code,
Facility Type,facility_type,
CNG Dispenser Num,cng_dispenser_num,
CNG On-Site Renewable Source,cng_on_site_renewable_source,
CNG Total Compression Capacity,cng_total_compression_capacity,
CNG Storage Capacity,cng_storage_capacity,
LNG On-Site Renewable Source,lng_on_site_renewable_source,
E85 Other Ethanol Blends,e_other_ethanol_blends,
EV Pricing,ev_pricing,
EV Pricing (French),ev_pricing_french),
LPG Nozzle Types,lpg_nozzle_types,
Hydrogen Pressures,hydrogen_pressures,
Hydrogen Standards,hydrogen_standards,
CNG Fill Type Code,cng_fill_type_code,
CNG PSI,cng_psi,
CNG Vehicle Class,cng_vehicle_class,
LNG Vehicle Class,lng_vehicle_class,
EV On-Site Renewable Source,ev_on_site_renewable_source,
Restricted Access,restricted_access,
