census_tract_2020,census_tract_2010
53001950100,53001950100.0
53001950200,53001950200.0
53001950301,53001950300.0
53001950302,53001950300.0
53001950303,53001950300.0
53001950400,53001950400.0
53001950500,53001950500.0
53003960100,53003960100.0
53003960200,53003960200.0
53003960300,53003960300.0
53003960400,53003960400.0
53003960500,53003960500.0
53003960600,53003960600.0
53005010100,53005010100.0
53005010201,53005010201.0
53005010203,53005010202.0
53005010204,53005010202.0
53005010300,53005010300.0
53005010400,53005010400.0
53005010500,53005010500.0
53005010600,53005010600.0
53005010701,53005010701.0
53005010703,53005010703.0
53005010705,53005010705.0
53005010707,53005010707.0
53005010708,53005010708.0
53005010807,53005010807.0
53005010809,53005010809.0
53005010810,53005010810.0
53005010811,53005010811.0
53005010814,53005010814.0
53005010815,53005010813.0
53005010816,53005010813.0
53005010817,53005010803.0
53005010818,53005010803.0
53005010819,53005010805.0
53005010820,53005010805.0
53005010901,53005010901.0
53005010902,53005010902.0
53005011001,53005011001.0
53005011002,53005011002.0
53005011100,53005011100.0
53005011201,53005011200.0
53005011202,53005011200.0
53005011300,53005011300.0
53005011401,53005011401.0
53005011402,53005011402.0
53005011501,53005011501.0
53005011504,53005011504.0
53005011505,53005011503.0
53005011506,53005011503.0
53005011600,53005011600.0
53005011701,53005011700.0
53005011702,53005011700.0
53005011801,53005011800.0
53005011802,53005011800.0
53005011900,53005011900.0
53005012000,53005012000.0
53007960100,53007960100.0
53007960201,53007960200.0
53007960202,53007960200.0
53007960203,53007960200.0
53007960301,53007960300.0
53007960302,53007960300.0
53007960303,53007960300.0
53007960400,53007960400.0
53007960501,53007960500.0
53007960502,53007960500.0
53007960600,53007960600.0
53007960700,53007960700.0
53007960801,53007960801.0
53007960803,53007960802.0
53007960804,53007960802.0
53007961001,53007961000.0
53007961002,53007961000.0
53007961101,53007961100.0
53007961102,53007961100.0
53007961200,53007961200.0
53007961301,53007961301.0
53007961303,53007961302.0
53007961304,53007961302.0
53009000300,53009000300.0
53009000600,53009000600.0
53009000700,53009000700.0
53009000800,53009000800.0
53009000900,53009000900.0
53009001000,53009001000.0
53009001100,53009001100.0
53009001200,53009001200.0
53009001300,53009001300.0
53009001400,53009001400.0
53009001500,53009001500.0
53009001600,53009001600.0
53009001701,53009001700.0
53009001702,53009001700.0
53009001800,53009001800.0
53009001901,53009001900.0
53009001902,53009001900.0
53009002001,53009002000.0
53009002002,53009002000.0
53009002100,53009002100.0
53009002301,53009002300.0
53009002302,53009002300.0
53009002400,53009000400.0
53009940000,53009940000.0
53009990100,53009990100.0
53011040101,53011040101.0
53011040102,53011040102.0
53011040201,53011040201.0
53011040202,53011040202.0
53011040203,53011040203.0
53011040301,53011040301.0
53011040303,53011040302.0
53011040304,53011040302.0
53011040305,53011040302.0
53011040403,53011040403.0
53011040407,53011040407.0
53011040408,53011040408.0
53011040409,53011040409.0
53011040411,53011040411.0
53011040412,53011040412.0
53011040413,53011040413.0
53011040414,53011040414.0
53011040415,53011040415.0
