OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790225757139|53001950100|Census Tract 9501|1615246453|7701924|G5020|S|20740225757139|53001950100|Census Tract 9501|1615379080|7701924|G5020|S|1615185150|7701924
20790225757139|53001950100|Census Tract 9501|1615246453|7701924|G5020|S|20740480264312|53043960400|Census Tract 9604|2659105111|12808774|G5020|S|12825|0
20790225757139|53001950100|Census Tract 9501|1615246453|7701924|G5020|S|20740256954118|53075000900|Census Tract 9|2053443772|11728753|G5020|S|48478|0
20790225757084|53001950200|Census Tract 9502|2629354892|2148452|G5020|S|20740225757084|53001950200|Census Tract 9502|2629585982|2151218|G5020|S|2629148339|2137958
20790225757084|53001950200|Census Tract 9502|2629354892|2148452|G5020|S|20740246568089|53021020700|Census Tract 207|1408199208|30711543|G5020|S|148183|783
20790225757084|53001950200|Census Tract 9502|2629354892|2148452|G5020|S|20740249604623|53025011300|Census Tract 113|284889883|5315640|G5020|S|15055|0
20790225757084|53001950200|Census Tract 9502|2629354892|2148452|G5020|S|20740256954118|53075000900|Census Tract 9|2053443772|11728753|G5020|S|43315|998
20790225757084|53001950200|Census Tract 9502|2629354892|2148452|G5020|S|20740256953967|53075001000|Census Tract 10|1785896931|36506019|G5020|S|0|8713
2079015489700761|53001950301|Census Tract 9503.01|431966557|0|G5020|S|20740225757098|53001950300|Census Tract 9503|724736582|2617030|G5020|S|431627674|0
2079015489700761|53001950301|Census Tract 9503.01|431966557|0|G5020|S|20740246568066|53021020800|Census Tract 208|1177635894|12112347|G5020|S|338579|0
2079015489700761|53001950301|Census Tract 9503.01|431966557|0|G5020|S|20740249604623|53025011300|Census Tract 113|284889883|5315640|G5020|S|304|0
2079015489700756|53001950302|Census Tract 9503.02|174575090|2213558|G5020|S|20740225757098|53001950300|Census Tract 9503|724736582|2617030|G5020|S|174575090|2213558
2079015489700771|53001950303|Census Tract 9503.03|118609926|400491|G5020|S|20740225757098|53001950300|Census Tract 9503|724736582|2617030|G5020|S|118330879|400491
2079015489700771|53001950303|Census Tract 9503.03|118609926|400491|G5020|S|20740246568066|53021020800|Census Tract 208|1177635894|12112347|G5020|S|51170|0
2079015489700771|53001950303|Census Tract 9503.03|118609926|400491|G5020|S|207403693965688|53025011402|Census Tract 114.02|1375506354|37881082|G5020|S|227877|0
20790225757112|53001950400|Census Tract 9504|3559985|0|G5020|S|20740225757098|53001950300|Census Tract 9503|724736582|2617030|G5020|S|163558|0
20790225757112|53001950400|Census Tract 9504|3559985|0|G5020|S|20740225757112|53001950400|Census Tract 9504|3396427|0|G5020|S|3396427|0
20790225757124|53001950500|Census Tract 9505|12385953|0|G5020|S|20740225757124|53001950500|Census Tract 9505|12385953|0|G5020|S|12385953|0
20790244373208|53003960100|Census Tract 9601|1340245353|8187333|G5020|S|20740449089315|41063960200|Census Tract 9602|2873082195|1077914|G5020|S|7896|0
20790244373208|53003960100|Census Tract 9601|1340245353|8187333|G5020|S|20740244373208|53003960100|Census Tract 9601|1340238411|8187333|G5020|S|1340237457|8187333
20790244373227|53003960200|Census Tract 9602|294305193|2158770|G5020|S|20740244373227|53003960200|Census Tract 9602|294874935|2354761|G5020|S|294305193|2158770
