time,zip,county,gas_price,n_ev,n_bev,n_phev,m_ev,m_bev,m_phev,n_evse
2017-01-31,98001,King,2.743,73.0,34.0,39.0,43,24,20,0
2017-01-31,98002,King,2.743,32.0,17.0,15.0,43,24,20,2
2017-01-31,98003,King,2.743,54.0,22.0,32.0,43,24,20,1
2017-01-31,98004,King,2.743,397.0,306.0,91.0,43,24,20,16
2017-01-31,98005,King,2.743,194.0,138.0,56.0,43,24,20,1
2017-01-31,98006,King,2.743,325.0,259.0,66.0,43,24,20,1
2017-01-31,98007,King,2.743,134.0,110.0,24.0,43,24,20,1
2017-01-31,98008,King,2.743,230.0,178.0,52.0,43,24,20,1
2017-01-31,98010,King,2.743,23.0,10.0,13.0,43,24,20,0
2017-01-31,98011,King,2.743,154.0,100.0,54.0,43,24,20,4
2017-01-31,98012,Snohomish,2.743,323.0,218.0,105.0,43,24,20,0
2017-01-31,98014,King,2.743,52.0,32.0,20.0,43,24,20,0
2017-01-31,98019,King,2.743,71.0,47.0,24.0,43,24,20,0
2017-01-31,98020,Snohomish,2.743,129.0,97.0,32.0,43,24,20,0
2017-01-31,98021,Snohomish,2.743,189.0,134.0,55.0,43,24,20,1
2017-01-31,98022,King,2.743,38.0,11.0,27.0,43,24,20,0
2017-01-31,98023,King,2.743,88.0,39.0,49.0,43,24,20,0
2017-01-31,98024,King,2.743,103.0,63.0,40.0,43,24,20,0
2017-01-31,98026,Snohomish,2.743,164.0,108.0,56.0,43,24,20,2
2017-01-31,98027,King,2.743,224.0,147.0,77.0,43,24,20,4
2017-01-31,98028,King,2.743,150.0,107.0,43.0,43,24,20,0
2017-01-31,98029,King,2.743,240.0,179.0,61.0,43,24,20,1
2017-01-31,98030,King,2.743,2.0,1.0,1.0,43,24,20,0
2017-01-31,98031,King,2.743,119.0,70.0,49.0,43,24,20,0
2017-01-31,98032,King,2.743,55.0,22.0,33.0,43,24,20,1
2017-01-31,98033,King,2.743,382.0,298.0,84.0,43,24,20,0
2017-01-31,98034,King,2.743,321.0,237.0,84.0,43,24,20,9
2017-01-31,98036,Snohomish,2.743,120.0,75.0,45.0,43,24,20,0
2017-01-31,98037,Snohomish,2.743,67.0,45.0,22.0,43,24,20,1
2017-01-31,98038,King,2.743,102.0,55.0,47.0,43,24,20,1
2017-01-31,98039,King,2.743,69.0,51.0,18.0,43,24,20,0
2017-01-31,98040,King,2.743,394.0,281.0,113.0,43,24,20,1
2017-01-31,98042,King,2.743,133.0,75.0,58.0,43,24,20,0
2017-01-31,98043,Snohomish,2.743,61.0,31.0,30.0,43,24,20,0
2017-01-31,98045,King,2.743,74.0,44.0,30.0,43,24,20,0
2017-01-31,98047,King,2.743,6.0,3.0,3.0,43,24,20,0
2017-01-31,98050,King,2.743,,,,43,24,20,0
2017-01-31,98051,King,2.743,17.0,12.0,5.0,43,24,20,0
2017-01-31,98052,King,2.743,654.0,509.0,145.0,43,24,20,5
2017-01-31,98053,King,2.743,359.0,299.0,60.0,43,24,20,1
2017-01-31,98055,King,2.743,105.0,42.0,63.0,43,24,20,3
2017-01-31,98056,King,2.743,133.0,82.0,51.0,43,24,20,3
2017-01-31,98057,King,2.743,,,,43,24,20,8
2017-01-31,98058,King,2.743,130.0,74.0,56.0,43,24,20,2
2017-01-31,98059,King,2.743,216.0,146.0,70.0,43,24,20,1
2017-01-31,98065,King,2.743,38.0,21.0,17.0,43,24,20,1
2017-01-31,98068,Kittitas,2.743,1.0,1.0,,43,24,20,1
2017-01-31,98070,King,2.743,101.0,69.0,32.0,43,24,20,0
2017-01-31,98072,King,2.743,387.0,290.0,97.0,43,24,20,1
2017-01-31,98074,King,2.743,358.0,278.0,80.0,43,24,20,0
2017-01-31,98075,King,2.743,294.0,235.0,59.0,43,24,20,1
2017-01-31,98077,King,2.743,9.0,7.0,2.0,43,24,20,0
2017-01-31,98087,Snohomish,2.743,87.0,51.0,36.0,43,24,20,0
2017-01-31,98092,King,2.743,93.0,48.0,45.0,43,24,20,1
2017-01-31,98101,King,2.743,50.0,33.0,17.0,43,24,20,8
2017-01-31,98102,King,2.743,87.0,59.0,28.0,43,24,20,0
2017-01-31,98103,King,2.743,301.0,214.0,87.0,43,24,20,1
2017-01-31,98104,King,2.743,82.0,34.0,48.0,43,24,20,10
2017-01-31,98105,King,2.743,220.0,145.0,75.0,43,24,20,4
2017-01-31,98106,King,2.743,77.0,45.0,32.0,43,24,20,1
2017-01-31,98107,King,2.743,148.0,103.0,45.0,43,24,20,2
2017-01-31,98108,King,2.743,60.0,39.0,21.0,43,24,20,1
2017-01-31,98109,King,2.743,113.0,76.0,37.0,43,24,20,6
2017-01-31,98110,Kitsap,2.743,258.0,181.0,77.0,43,24,20,2
2017-01-31,98112,King,2.743,259.0,167.0,92.0,43,24,20,1
2017-01-31,98115,King,2.743,355.0,253.0,102.0,43,24,20,0
2017-01-31,98116,King,2.743,143.0,99.0,44.0,43,24,20,0
2017-01-31,98117,King,2.743,224.0,161.0,63.0,43,24,20,0
2017-01-31,98118,King,2.743,163.0,109.0,54.0,43,24,20,0
2017-01-31,98119,King,2.743,125.0,90.0,35.0,43,24,20,0
2017-01-31,98121,King,2.743,133.0,50.0,83.0,43,24,20,4
2017-01-31,98122,King,2.743,186.0,109.0,77.0,43,24,20,1
2017-01-31,98125,King,2.743,193.0,116.0,77.0,43,24,20,3
2017-01-31,98126,King,2.743,101.0,68.0,33.0,43,24,20,0
2017-01-31,98133,King,2.743,178.0,117.0,61.0,43,24,20,0
2017-01-31,98134,King,2.743,33.0,22.0,11.0,43,24,20,7
2017-01-31,98136,King,2.743,88.0,56.0,32.0,43,24,20,0
2017-01-31,98144,King,2.743,142.0,86.0,56.0,43,24,20,2
2017-01-31,98146,King,2.743,66.0,42.0,24.0,43,24,20,1
2017-01-31,98148,King,2.743,117.0,7.0,110.0,43,24,20,2
2017-01-31,98154,King,2.743,,,,43,24,20,1
2017-01-31,98155,King,2.743,164.0,107.0,57.0,43,24,20,0
2017-01-31,98158,King,2.743,,,,43,24,20,0
2017-01-31,98164,King,2.743,,,,43,24,20,0
2017-01-31,98166,King,2.743,75.0,48.0,27.0,43,24,20,2
2017-01-31,98168,King,2.743,59.0,28.0,31.0,43,24,20,0
