id,Total,Geographic Area Name,zip
8600000US98001,31911,ZCTA5 98001,98001
8600000US98002,31647,ZCTA5 98002,98002
8600000US98003,44151,ZCTA5 98003,98003
8600000US98004,27946,ZCTA5 98004,98004
8600000US98005,17714,ZCTA5 98005,98005
8600000US98006,36364,ZCTA5 98006,98006
8600000US98007,24889,ZCTA5 98007,98007
8600000US98008,24411,ZCTA5 98008,98008
8600000US98010,5025,ZCTA5 98010,98010
8600000US98011,29212,ZCTA5 98011,98011
8600000US98012,51136,ZCTA5 98012,98012
8600000US98014,6765,ZCTA5 98014,98014
8600000US98019,10725,ZCTA5 98019,98019
8600000US98020,18304,ZCTA5 98020,98020
8600000US98021,26722,ZCTA5 98021,98021
8600000US98022,20987,ZCTA5 98022,98022
8600000US98023,47510,ZCTA5 98023,98023
8600000US98024,5650,ZCTA5 98024,98024
8600000US98026,35921,ZCTA5 98026,98026
8600000US98027,26141,ZCTA5 98027,98027
8600000US98028,20419,ZCTA5 98028,98028
8600000US98029,24348,ZCTA5 98029,98029
8600000US98030,33769,ZCTA5 98030,98030
8600000US98031,36581,ZCTA5 98031,98031
8600000US98032,33853,ZCTA5 98032,98032
8600000US98033,34338,ZCTA5 98033,98033
8600000US98034,40407,ZCTA5 98034,98034
8600000US98036,36000,ZCTA5 98036,98036
8600000US98037,26889,ZCTA5 98037,98037
8600000US98038,31171,ZCTA5 98038,98038
8600000US98039,2971,ZCTA5 98039,98039
8600000US98040,22699,ZCTA5 98040,98040
8600000US98042,43673,ZCTA5 98042,98042
8600000US98043,19943,ZCTA5 98043,98043
8600000US98045,13888,ZCTA5 98045,98045
8600000US98047,6339,ZCTA5 98047,98047
8600000US98050,322,ZCTA5 98050,98050
8600000US98051,3270,ZCTA5 98051,98051
8600000US98052,58442,ZCTA5 98052,98052
8600000US98053,18784,ZCTA5 98053,98053
8600000US98055,21904,ZCTA5 98055,98055
8600000US98056,32489,ZCTA5 98056,98056
8600000US98057,10613,ZCTA5 98057,98057
8600000US98058,41938,ZCTA5 98058,98058
8600000US98059,34463,ZCTA5 98059,98059
8600000US98065,12699,ZCTA5 98065,98065
8600000US98068,403,ZCTA5 98068,98068
8600000US98070,10624,ZCTA5 98070,98070
8600000US98072,22312,ZCTA5 98072,98072
8600000US98074,25748,ZCTA5 98074,98074
8600000US98075,20715,ZCTA5 98075,98075
8600000US98077,13585,ZCTA5 98077,98077
8600000US98087,29976,ZCTA5 98087,98087
8600000US98092,39816,ZCTA5 98092,98092
8600000US98101,10238,ZCTA5 98101,98101
8600000US98102,20756,ZCTA5 98102,98102
8600000US98103,45911,ZCTA5 98103,98103
8600000US98104,13095,ZCTA5 98104,98104
8600000US98105,43924,ZCTA5 98105,98105
8600000US98106,22873,ZCTA5 98106,98106
8600000US98107,21147,ZCTA5 98107,98107
8600000US98108,22374,ZCTA5 98108,98108
8600000US98109,20715,ZCTA5 98109,98109
8600000US98110,23025,ZCTA5 98110,98110
8600000US98112,21077,ZCTA5 98112,98112
8600000US98115,46206,ZCTA5 98115,98115
8600000US98116,22241,ZCTA5 98116,98116
8600000US98117,31365,ZCTA5 98117,98117
8600000US98118,42731,ZCTA5 98118,98118
8600000US98119,21039,ZCTA5 98119,98119
8600000US98121,12628,ZCTA5 98121,98121
8600000US98122,31454,ZCTA5 98122,98122
8600000US98125,37081,ZCTA5 98125,98125
8600000US98126,20698,ZCTA5 98126,98126
8600000US98133,44555,ZCTA5 98133,98133
8600000US98134,644,ZCTA5 98134,98134
8600000US98136,14770,ZCTA5 98136,98136
8600000US98144,26881,ZCTA5 98144,98144
8600000US98146,25922,ZCTA5 98146,98146
8600000US98148,10010,ZCTA5 98148,98148
8600000US98154,0,ZCTA5 98154,98154
8600000US98155,32778,ZCTA5 98155,98155
8600000US98158,0,ZCTA5 98158,98158
8600000US98164,141,ZCTA5 98164,98164
8600000US98166,20301,ZCTA5 98166,98166
8600000US98168,33734,ZCTA5 98168,98168
8600000US98174,0,ZCTA5 98174,98174
8600000US98177,19030,ZCTA5 98177,98177
8600000US98178,24092,ZCTA5 98178,98178
8600000US98188,23111,ZCTA5 98188,98188
8600000US98195,0,ZCTA5 98195,98195
8600000US98198,34584,ZCTA5 98198,98198
8600000US98199,19686,ZCTA5 98199,98199
8600000US98201,29582,ZCTA5 98201,98201
8600000US98203,34354,ZCTA5 98203,98203
8600000US98204,39380,ZCTA5 98204,98204
8600000US98205,12283,ZCTA5 98205,98205
8600000US98207,758,ZCTA5 98207,98207
8600000US98208,51802,ZCTA5 98208,98208
8600000US98220,634,ZCTA5 98220,98220
8600000US98221,20429,ZCTA5 98221,98221
8600000US98222,33,ZCTA5 98222,98222
8600000US98223,40815,ZCTA5 98223,98223
8600000US98224,294,ZCTA5 98224,98224
8600000US98225,46172,ZCTA5 98225,98225
8600000US98226,41235,ZCTA5 98226,98226
8600000US98229,30321,ZCTA5 98229,98229
8600000US98230,15710,ZCTA5 98230,98230
8600000US98232,3920,ZCTA5 98232,98232
8600000US98233,14871,ZCTA5 98233,98233
8600000US98235,103,ZCTA5 98235,98235
8600000US98236,5635,ZCTA5 98236,98236
8600000US98237,4025,ZCTA5 98237,98237
8600000US98238,85,ZCTA5 98238,98238
8600000US98239,6646,ZCTA5 98239,98239
8600000US98240,3061,ZCTA5 98240,98240
8600000US98241,2129,ZCTA5 98241,98241
8600000US98243,507,ZCTA5 98243,98243
8600000US98244,3001,ZCTA5 98244,98244
8600000US98245,3651,ZCTA5 98245,98245
8600000US98247,9072,ZCTA5 98247,98247
8600000US98248,22361,ZCTA5 98248,98248
8600000US98249,4561,ZCTA5 98249,98249
8600000US98250,7664,ZCTA5 98250,98250
8600000US98251,4567,ZCTA5 98251,98251
8600000US98252,8777,ZCTA5 98252,98252
8600000US98253,1837,ZCTA5 98253,98253
8600000US98255,245,ZCTA5 98255,98255
8600000US98256,420,ZCTA5 98256,98256
8600000US98257,4134,ZCTA5 98257,98257
8600000US98258,30524,ZCTA5 98258,98258
8600000US98260,5278,ZCTA5 98260,98260
8600000US98261,2383,ZCTA5 98261,98261
8600000US98262,964,ZCTA5 98262,98262
8600000US98263,76,ZCTA5 98263,98263
8600000US98264,18893,ZCTA5 98264,98264
8600000US98266,3642,ZCTA5 98266,98266
8600000US98267,534,ZCTA5 98267,98267
8600000US98270,45899,ZCTA5 98270,98270
8600000US98271,27184,ZCTA5 98271,98271
8600000US98272,27942,ZCTA5 98272,98272
8600000US98273,28717,ZCTA5 98273,98273
8600000US98274,16613,ZCTA5 98274,98274
8600000US98275,20256,ZCTA5 98275,98275
8600000US98276,450,ZCTA5 98276,98276
8600000US98277,37823,ZCTA5 98277,98277
8600000US98278,1065,ZCTA5 98278,98278
8600000US98279,608,ZCTA5 98279,98279
8600000US98280,480,ZCTA5 98280,98280
8600000US98281,1314,ZCTA5 98281,98281
8600000US98282,15661,ZCTA5 98282,98282
8600000US98283,434,ZCTA5 98283,98283
8600000US98284,24331,ZCTA5 98284,98284
8600000US98286,240,ZCTA5 98286,98286
8600000US98288,333,ZCTA5 98288,98288
8600000US98290,32714,ZCTA5 98290,98290
8600000US98292,20987,ZCTA5 98292,98292
8600000US98294,6595,ZCTA5 98294,98294
8600000US98295,2409,ZCTA5 98295,98295
8600000US98296,27956,ZCTA5 98296,98296
8600000US98297,106,ZCTA5 98297,98297
8600000US98303,1037,ZCTA5 98303,98303
8600000US98304,759,ZCTA5 98304,98304
8600000US98305,358,ZCTA5 98305,98305
8600000US98310,18703,ZCTA5 98310,98310
8600000US98311,25880,ZCTA5 98311,98311
8600000US98312,30203,ZCTA5 98312,98312
8600000US98314,3329,ZCTA5 98314,98314
8600000US98315,6054,ZCTA5 98315,98315
8600000US98320,1250,ZCTA5 98320,98320
8600000US98321,15152,ZCTA5 98321,98321
8600000US98323,702,ZCTA5 98323,98323
8600000US98325,1848,ZCTA5 98325,98325
8600000US98326,1412,ZCTA5 98326,98326
8600000US98327,8267,ZCTA5 98327,98327
8600000US98328,10433,ZCTA5 98328,98328
8600000US98329,10545,ZCTA5 98329,98329
8600000US98330,149,ZCTA5 98330,98330
8600000US98331,6261,ZCTA5 98331,98331
8600000US98332,15855,ZCTA5 98332,98332
8600000US98333,3633,ZCTA5 98333,98333
8600000US98335,24925,ZCTA5 98335,98335
8600000US98336,970,ZCTA5 98336,98336
8600000US98337,6697,ZCTA5 98337,98337
8600000US98338,24098,ZCTA5 98338,98338
8600000US98339,3326,ZCTA5 98339,98339
8600000US98340,2537,ZCTA5 98340,98340
8600000US98342,1370,ZCTA5 98342,98342
8600000US98345,554,ZCTA5 98345,98345
8600000US98346,9297,ZCTA5 98346,98346
8600000US98349,4614,ZCTA5 98349,98349
8600000US98350,460,ZCTA5 98350,98350
8600000US98351,1115,ZCTA5 98351,98351
8600000US98353,4,ZCTA5 98353,98353
8600000US98354,6976,ZCTA5 98354,98354
8600000US98355,628,ZCTA5 98355,98355
8600000US98356,2149,ZCTA5 98356,98356
8600000US98357,1414,ZCTA5 98357,98357
8600000US98358,897,ZCTA5 98358,98358
8600000US98359,4887,ZCTA5 98359,98359
8600000US98360,12221,ZCTA5 98360,98360
8600000US98361,1158,ZCTA5 98361,98361
8600000US98362,22230,ZCTA5 98362,98362
8600000US98363,13343,ZCTA5 98363,98363
8600000US98364,45,ZCTA5 98364,98364
8600000US98365,4528,ZCTA5 98365,98365
8600000US98366,34258,ZCTA5 98366,98366
8600000US98367,27693,ZCTA5 98367,98367
8600000US98368,14724,ZCTA5 98368,98368
8600000US98370,29528,ZCTA5 98370,98370
8600000US98371,20468,ZCTA5 98371,98371
8600000US98372,22475,ZCTA5 98372,98372
8600000US98373,22246,ZCTA5 98373,98373
8600000US98374,37360,ZCTA5 98374,98374
8600000US98375,26863,ZCTA5 98375,98375
8600000US98376,1998,ZCTA5 98376,98376
8600000US98377,1922,ZCTA5 98377,98377
8600000US98380,4173,ZCTA5 98380,98380
8600000US98381,371,ZCTA5 98381,98381
8600000US98382,26856,ZCTA5 98382,98382
8600000US98383,19727,ZCTA5 98383,98383
8600000US98385,459,ZCTA5 98385,98385
8600000US98387,43173,ZCTA5 98387,98387
8600000US98388,7508,ZCTA5 98388,98388
8600000US98390,10461,ZCTA5 98390,98390
8600000US98391,44309,ZCTA5 98391,98391
8600000US98392,2994,ZCTA5 98392,98392
8600000US98394,1107,ZCTA5 98394,98394
8600000US98396,662,ZCTA5 98396,98396
8600000US98402,6356,ZCTA5 98402,98402
8600000US98403,7713,ZCTA5 98403,98403
8600000US98404,32086,ZCTA5 98404,98404
8600000US98405,22851,ZCTA5 98405,98405
8600000US98406,21610,ZCTA5 98406,98406
8600000US98407,19885,ZCTA5 98407,98407
8600000US98408,18830,ZCTA5 98408,98408
8600000US98409,22989,ZCTA5 98409,98409
8600000US98416,1014,ZCTA5 98416,98416
8600000US98418,10069,ZCTA5 98418,98418
8600000US98421,1308,ZCTA5 98421,98421
8600000US98422,20151,ZCTA5 98422,98422
