"date","plug_in_hybrid_electric","battery_electric_vehicle","electric_vehicle_total"
"2017-01-31T00:00:00.000","8400","14795","23195"
"2017-02-28T00:00:00.000","8620","15305","23925"
"2017-03-31T00:00:00.000","8851","15801","24652"
"2017-04-30T00:00:00.000","9034","16456","25490"
"2017-05-31T00:00:00.000","9253","17030","26283"
"2017-06-30T00:00:00.000","9467","17601","27068"
"2017-07-31T00:00:00.000","9655","18121","27776"
"2017-08-31T00:00:00.000","9875","18576","28451"
"2017-09-30T00:00:00.000","10096","19077","29173"
"2017-10-31T00:00:00.000","10378","19637","30015"
"2017-11-30T00:00:00.000","10604","20078","30682"
"2017-12-31T00:00:00.000","10841","20457","31298"
"2018-01-31T00:00:00.000","11257","21048","32305"
"2018-02-28T00:00:00.000","11551","21302","32853"
"2018-03-31T00:00:00.000","11890","21751","33641"
"2018-04-30T00:00:00.000","12225","22299","34524"
"2018-05-31T00:00:00.000","12649","23064","35713"
"2018-06-30T00:00:00.000","13040","23793","36833"
"2018-07-31T00:00:00.000","13338","24333","37671"
"2018-08-31T00:00:00.000","13650","24913","38563"
"2018-09-30T00:00:00.000","13987","25507","39494"
"2018-10-31T00:00:00.000","14347","26885","41232"
"2018-11-30T00:00:00.000","14732","28162","42894"
"2018-12-31T00:00:00.000","15070","29140","44210"
"2019-01-31T00:00:00.000","15462","30541","46003"
"2019-02-28T00:00:00.000","15640","31123","46763"
"2019-03-31T00:00:00.000","15794","31465","47259"
"2019-04-30T00:00:00.000","16060","32497","48557"
"2019-05-31T00:00:00.000","16348","33186","49534"
"2019-06-30T00:00:00.000","16598","34028","50626"
"2019-07-31T00:00:00.000","16886","35007","51893"
"2019-08-31T00:00:00.000","17106","35765","52871"
"2019-09-30T00:00:00.000","17347","36542","53889"
"2019-10-31T00:00:00.000","17641","38135","55776"
"2019-11-30T00:00:00.000","17830","38606","56436"
"2019-12-31T00:00:00.000","18015","39291","57306"
"2020-01-31T00:00:00.000","18241","41328","59569"
"2020-02-29T00:00:00.000","18369","41812","60181"
"2020-03-31T00:00:00.000","18503","42596","61099"
"2020-04-30T00:00:00.000","18463","42981","61444"
"2020-05-31T00:00:00.000","18492","42994","61486"
"2020-06-30T00:00:00.000","18583","43289","61872"
"2020-07-31T00:00:00.000","18697","44708","63405"
"2020-08-31T00:00:00.000","18828","45344","64172"
"2020-09-30T00:00:00.000","19019","45935","64954"
"2020-10-31T00:00:00.000","19270","46960","66230"
"2020-11-30T00:00:00.000","19425","48343","67768"
"2020-12-31T00:00:00.000","19663","49170","68833"
"2021-01-31T00:00:00.000","19937","50727","70664"
"2021-02-28T00:00:00.000","20171","51599","71770"
"2021-03-31T00:00:00.000","20475","52419","72894"
"2021-04-30T00:00:00.000","20855","54302","75157"
"2021-05-31T00:00:00.000","21169","55529","76698"
"2021-06-30T00:00:00.000","21669","56624","78293"
"2021-07-31T00:00:00.000","21998","58652","80650"
"2021-08-31T00:00:00.000","22340","60152","82492"
"2021-09-30T00:00:00.000","22575","61219","83794"
"2021-10-31T00:00:00.000","22882","62791","85673"
"2021-11-30T00:00:00.000","23201","64347","87548"
"2021-12-31T00:00:00.000","23384","65554","88938"
"2022-01-31T00:00:00.000","23538","66963","90501"
"2022-02-28T00:00:00.000","23636","68297","91933"
