"date","county","state","vehicle_primary_use","battery_electric_vehicles_bevs_","plug_in_hybrid_electric_vehicles_phevs_","electric_vehicle_ev_total","non_electric_vehicles","total_vehicles","percent_electric_vehicles"
"2017-01-31T00:00:00.000","NULL","NULL","Passenger","9","4","13","2597","2610","0.4980842911877394636015325670"
"2017-01-31T00:00:00.000","NULL","WA","Truck","0","0","0","1","1","0"
"2017-01-31T00:00:00.000","NULL","CA","Passenger","1","0","1","469","470","0.2127659574468085106382978723"
"2017-01-31T00:00:00.000","Adams","WA","Truck","0","0","0","5283","5283","0"
"2017-01-31T00:00:00.000","Adams","WA","Passenger","2","1","3","12501","12504","0.02399232245681381957773512476"
"2017-01-31T00:00:00.000","Allegheny","PA","Passenger","1","0","1","89","90","1.111111111111111111111111111"
"2017-01-31T00:00:00.000","Anne Arundel","MD","Passenger","0","2","2","516","518","0.3861003861003861003861003861"
"2017-01-31T00:00:00.000","Alameda","CA","Passenger","6","1","7","389","396","1.767676767676767676767676768"
"2017-01-31T00:00:00.000","Alexandria City","VA","Passenger","1","0","1","186","187","0.5347593582887700534759358289"
"2017-01-31T00:00:00.000","Asotin","WA","Passenger","4","4","8","12412","12420","0.06441223832528180354267310789"
"2017-01-31T00:00:00.000","Asotin","WA","Truck","0","0","0","6647","6647","0"
"2017-01-31T00:00:00.000","Arlington","VA","Passenger","1","1","2","176","178","1.123595505617977528089887640"
"2017-01-31T00:00:00.000","Benton","WA","Truck","0","0","0","40975","40975","0"
"2017-01-31T00:00:00.000","Benton","WA","Passenger","129","133","262","129559","129821","0.2018163471241170534813319879"
"2017-01-31T00:00:00.000","Bexar","TX","Passenger","1","4","5","1114","1119","0.4468275245755138516532618409"
"2017-01-31T00:00:00.000","Columbia","WA","Passenger","0","1","1","2363","2364","0.04230118443316412859560067682"
"2017-01-31T00:00:00.000","Brown","WI","Passenger","1","0","1","23","24","4.166666666666666666666666667"
"2017-01-31T00:00:00.000","Cascade","MT","Passenger","0","1","1","58","59","1.694915254237288135593220339"
"2017-01-31T00:00:00.000","Charles","MD","Passenger","0","1","1","89","90","1.111111111111111111111111111"
"2017-01-31T00:00:00.000","Clackamas","OR","Passenger","1","2","3","422","425","0.7058823529411764705882352941"
"2017-01-31T00:00:00.000","Canyon","ID","Passenger","0","1","1","105","106","0.9433962264150943396226415094"
"2017-01-31T00:00:00.000","Chelan","WA","Truck","0","0","0","21863","21863","0"
"2017-01-31T00:00:00.000","Clallam","WA","Passenger","74","68","142","48746","48888","0.2904598265423007691048928162"
"2017-01-31T00:00:00.000","Clallam","WA","Truck","0","0","0","21566","21566","0"
"2017-01-31T00:00:00.000","Ferry","WA","Passenger","2","1","3","4527","4530","0.06622516556291390728476821192"
"2017-01-31T00:00:00.000","Clark","NV","Passenger","1","3","4","888","892","0.4484304932735426008968609865"
"2017-01-31T00:00:00.000","Clark","WA","Passenger","681","450","1131","301465","302596","0.3737656809739718965220954672"
"2017-01-31T00:00:00.000","Chelan","WA","Passenger","54","28","82","52807","52889","0.1550416910888842670498591390"
"2017-01-31T00:00:00.000","Cumberland","NC","Passenger","1","0","1","657","658","0.1519756838905775075987841945"
"2017-01-31T00:00:00.000","Columbia","WA","Truck","0","0","0","1607","1607","0"
"2017-01-31T00:00:00.000","Dakota","MN","Passenger","0","1","1","42","43","2.325581395348837209302325581"
"2017-01-31T00:00:00.000","Contra Costa","CA","Passenger","1","0","1","254","255","0.3921568627450980392156862745"
"2017-01-31T00:00:00.000","District Of Columbia","DC","Passenger","0","3","3","236","239","1.255230125523012552301255230"
"2017-01-31T00:00:00.000","Cobb","GA","Passenger","0","1","1","75","76","1.315789473684210526315789474"
"2017-01-31T00:00:00.000","Gwinnett","GA","Passenger","0","1","1","91","92","1.086956521739130434782608696"
"2017-01-31T00:00:00.000","Clark","WA","Truck","0","0","0","79525","79525","0"
"2017-01-31T00:00:00.000","Collier","FL","Passenger","0","1","1","20","21","4.761904761904761904761904762"
"2017-01-31T00:00:00.000","Duval","FL","Passenger","1","1","2","367","369","0.5420054200542005420054200542"
"2017-01-31T00:00:00.000","Dane","WI","Passenger","1","0","1","184","185","0.5405405405405405405405405405"
"2017-01-31T00:00:00.000","Cowlitz","WA","Truck","0","0","0","28702","28702","0"
"2017-01-31T00:00:00.000","Douglas","WA","Passenger","29","19","48","27071","27119","0.1769976769054906154356724068"
"2017-01-31T00:00:00.000","Deschutes","OR","Passenger","1","1","2","234","236","0.8474576271186440677966101695"
"2017-01-31T00:00:00.000","Ferry","WA","Truck","0","0","0","3772","3772","0"
"2017-01-31T00:00:00.000","Fairfax City","VA","Passenger","1","0","1","6","7","14.28571428571428571428571429"
"2017-01-31T00:00:00.000","Dekalb","GA","Passenger","1","0","1","87","88","1.136363636363636363636363636"
"2017-01-31T00:00:00.000","Cowlitz","WA","Passenger","51","51","102","70074","70176","0.1453488372093023255813953488"
"2017-01-31T00:00:00.000","Dale","AL","Passenger","0","1","1","68","69","1.449275362318840579710144928"
"2017-01-31T00:00:00.000","Garfield","WA","Truck","0","0","0","965","965","0"
"2017-01-31T00:00:00.000","Franklin","OH","Passenger","1","0","1","116","117","0.8547008547008547008547008547"
"2017-01-31T00:00:00.000","Douglas","WA","Truck","0","0","0","11744","11744","0"
"2017-01-31T00:00:00.000","Glacier","MT","Passenger","0","1","1","4","5","20.0"
"2017-01-31T00:00:00.000","Dekalb","IN","Passenger","1","0","1","1","2","50.0"
"2017-01-31T00:00:00.000","Hamilton","IN","Passenger","1","0","1","67","68","1.470588235294117647058823529"
"2017-01-31T00:00:00.000","El Paso","CO","Passenger","1","1","2","878","880","0.2272727272727272727272727273"
"2017-01-31T00:00:00.000","Jefferson","WA","Truck","0","0","0","9697","9697","0"
"2017-01-31T00:00:00.000","Harnett","NC","Passenger","1","0","1","271","272","0.3676470588235294117647058824"
"2017-01-31T00:00:00.000","Juneau","AK","Passenger","0","1","1","51","52","1.923076923076923076923076923"
"2017-01-31T00:00:00.000","Franklin","WA","Truck","0","0","0","18439","18439","0"
"2017-01-31T00:00:00.000","Howard","MD","Passenger","0","1","1","97","98","1.020408163265306122448979592"
"2017-01-31T00:00:00.000","El Paso","TX","Passenger","0","1","1","595","596","0.1677852348993288590604026846"
"2017-01-31T00:00:00.000","Fulton","GA","Passenger","1","2","3","127","130","2.307692307692307692307692308"
"2017-01-31T00:00:00.000","Franklin","WA","Passenger","26","43","69","56236","56305","0.1225468430867596128230174940"
"2017-01-31T00:00:00.000","Garfield","WA","Passenger","0","0","0","1316","1316","0"
"2017-01-31T00:00:00.000","Island","WA","Passenger","102","127","229","60301","60530","0.3783247976210143730381628944"
"2017-01-31T00:00:00.000","Jefferson","WA","Passenger","88","56","144","23953","24097","0.5975847615885794912229738142"
"2017-01-31T00:00:00.000","Jefferson","NY","Passenger","1","1","2","266","268","0.7462686567164179104477611940"
"2017-01-31T00:00:00.000","Lane","OR","Passenger","0","1","1","289","290","0.3448275862068965517241379310"
"2017-01-31T00:00:00.000","Fairfax","VA","Passenger","0","3","3","861","864","0.3472222222222222222222222222"
"2017-01-31T00:00:00.000","Kitsap","WA","Passenger","562","277","839","174640","175479","0.4781198889895657030185948176"
"2017-01-31T00:00:00.000","Gallatin","MT","Passenger","0","1","1","77","78","1.282051282051282051282051282"
"2017-01-31T00:00:00.000","Kitsap","WA","Truck","1","0","1","53683","53684","0.001862752402950599806273750093"
"2017-01-31T00:00:00.000","Lewis","NY","Passenger","0","1","1","9","10","10.0"
"2017-01-31T00:00:00.000","Kittitas","WA","Truck","0","0","0","13868","13868","0"
"2017-01-31T00:00:00.000","Kittitas","WA","Passenger","16","16","32","27742","27774","0.1152156693310290199467127529"
"2017-01-31T00:00:00.000","Klickitat","WA","Passenger","21","24","45","15084","15129","0.2974419988102320047590719810"
"2017-01-31T00:00:00.000","Lincoln","WA","Passenger","2","4","6","7718","7724","0.07767995857068876229932677369"
"2017-01-31T00:00:00.000","Grant","WA","Passenger","16","26","42","61779","61821","0.06793807929344397534818265638"
"2017-01-31T00:00:00.000","Grant","WA","Truck","0","0","0","26046","26046","0"
"2017-01-31T00:00:00.000","Island","WA","Truck","1","0","1","21021","21022","0.004756921320521358576729140900"
"2017-01-31T00:00:00.000","Grays Harbor","WA","Passenger","26","27","53","44961","45014","0.1177411471986493091038343626"
"2017-01-31T00:00:00.000","Jackson","MO","Passenger","1","0","1","71","72","1.388888888888888888888888889"
"2017-01-31T00:00:00.000","Maricopa","AZ","Passenger","2","0","2","1806","1808","0.1106194690265486725663716814"
"2017-01-31T00:00:00.000","Grays Harbor","WA","Truck","0","0","0","20424","20424","0"
"2017-01-31T00:00:00.000","Guilford","NC","Passenger","1","0","1","34","35","2.857142857142857142857142857"
"2017-01-31T00:00:00.000","Marion","OR","Passenger","1","0","1","210","211","0.4739336492890995260663507109"
"2017-01-31T00:00:00.000","Maui","HI","Passenger","1","0","1","84","85","1.176470588235294117647058824"
"2017-01-31T00:00:00.000","Hamilton","TN","Passenger","1","0","1","24","25","4.00"
"2017-01-31T00:00:00.000","King","WA","Truck","8","1","9","195045","195054","0.004614106862714940478021470977"
"2017-01-31T00:00:00.000","Hardin","KY","Passenger","0","1","1","128","129","0.7751937984496124031007751938"
"2017-01-31T00:00:00.000","Honolulu","HI","Passenger","4","1","5","655","660","0.7575757575757575757575757576"
"2017-01-31T00:00:00.000","Montgomery","MD","Passenger","1","2","3","308","311","0.9646302250803858520900321543"
"2017-01-31T00:00:00.000","Lake","IL","Passenger","1","0","1","191","192","0.5208333333333333333333333333"
"2017-01-31T00:00:00.000","Latah","ID","Passenger","0","1","1","130","131","0.7633587786259541984732824427"
"2017-01-31T00:00:00.000","Okanogan","NULL","Passenger","3","11","14","19667","19681","0.07113459681926731365276154667"
"2017-01-31T00:00:00.000","Hidalgo","TX","Passenger","0","1","1","102","103","0.9708737864077669902912621359"
"2017-01-31T00:00:00.000","Los Angeles","CA","Passenger","2","1","3","1434","1437","0.2087682672233820459290187891"
"2017-01-31T00:00:00.000","Orleans","LA","Passenger","0","1","1","52","53","1.886792452830188679245283019"
"2017-01-31T00:00:00.000","Lewis","WA","Passenger","43","41","84","55774","55858","0.1503813240717533746285223245"
"2017-01-31T00:00:00.000","Hood River","OR","Passenger","1","0","1","41","42","2.380952380952380952380952381"
"2017-01-31T00:00:00.000","Lewis","WA","Truck","0","0","0","25702","25702","0"
"2017-01-31T00:00:00.000","Pend Oreille","WA","Passenger","1","4","5","9626","9631","0.05191568892119198421763056796"
"2017-01-31T00:00:00.000","Madison","ID","Passenger","1","0","1","45","46","2.173913043478260869565217391"
"2017-01-31T00:00:00.000","Pend Oreille","WA","Truck","0","0","0","5856","5856","0"
"2017-01-31T00:00:00.000","King","WA","Passenger","8825","4004","12829","1393850","1406679","0.9120062217463970102631801570"
"2017-01-31T00:00:00.000","Pacific","WA","Passenger","5","7","12","15233","15245","0.07871433256805510003279763857"
"2017-01-31T00:00:00.000","Loudoun","VA","Passenger","0","1","1","85","86","1.162790697674418604651162791"
"2017-01-31T00:00:00.000","Marin","CA","Passenger","1","0","1","54","55","1.818181818181818181818181818"
"2017-01-31T00:00:00.000","Klickitat","WA","Truck","0","0","0","8231","8231","0"
"2017-01-31T00:00:00.000","Prince William","VA","Passenger","0","3","3","270","273","1.098901098901098901098901099"
"2017-01-31T00:00:00.000","Pierce","WA","Passenger","829","807","1636","533685","535321","0.3056110259078197941048455039"
"2017-01-31T00:00:00.000","Mason","WA","Passenger","50","60","110","43587","43697","0.2517335286175252305650273474"
"2017-01-31T00:00:00.000","Manassas City","VA","Passenger","0","1","1","8","9","11.11111111111111111111111111"
"2017-01-31T00:00:00.000","Manatee","FL","Passenger","1","0","1","51","52","1.923076923076923076923076923"
"2017-01-31T00:00:00.000","Miami-Dade","FL","Passenger","0","1","1","131","132","0.7575757575757575757575757576"
"2017-01-31T00:00:00.000","Riley","KS","Passenger","1","0","1","97","98","1.020408163265306122448979592"
"2017-01-31T00:00:00.000","San Mateo","CA","Passenger","0","1","1","170","171","0.5847953216374269005847953216"
"2017-01-31T00:00:00.000","Santa Barbara","CA","Passenger","0","1","1","134","135","0.7407407407407407407407407407"
"2017-01-31T00:00:00.000","Russell","AL","Passenger","1","0","1","55","56","1.785714285714285714285714286"
"2017-01-31T00:00:00.000","Lincoln","WA","Truck","0","0","0","4593","4593","0"
"2017-01-31T00:00:00.000","Monroe","NY","Passenger","1","0","1","28","29","3.448275862068965517241379310"
"2017-01-31T00:00:00.000","Moore","NC","Passenger","0","1","1","215","216","0.4629629629629629629629629630"
"2017-01-31T00:00:00.000","Skagit","WA","Truck","1","0","1","32283","32284","0.003097509602279767067277908562"
"2017-01-31T00:00:00.000","Skagit","WA","Passenger","107","97","204","88666","88870","0.2295487791155620569370991336"
"2017-01-31T00:00:00.000","Salt Lake","UT","Passenger","0","1","1","336","337","0.2967359050445103857566765579"
"2017-01-31T00:00:00.000","Snohomish","WA","Truck","1","0","1","126098","126099","0.0007930277004575769831640219193"
"2017-01-31T00:00:00.000","Snohomish","WA","Passenger","1553","889","2442","519700","522142","0.4676888662471128543576268525"
"2017-01-31T00:00:00.000","Multnomah","OR","Passenger","0","3","3","1271","1274","0.2354788069073783359497645212"
"2017-01-31T00:00:00.000","Larimer","CO","Passenger","0","1","1","92","93","1.075268817204301075268817204"
"2017-01-31T00:00:00.000","Stevens","WA","Passenger","6","23","29","32306","32335","0.08968609865470852017937219731"
"2017-01-31T00:00:00.000","Pacific","WA","Truck","0","0","0","7699","7699","0"
"2017-01-31T00:00:00.000","Santa Fe","NM","Passenger","0","1","1","41","42","2.380952380952380952380952381"
"2017-01-31T00:00:00.000","Stevens","WA","Truck","0","0","0","19092","19092","0"
"2017-01-31T00:00:00.000","Saratoga","NY","Passenger","0","1","1","78","79","1.265822784810126582278481013"
"2017-01-31T00:00:00.000","Marion","FL","Passenger","1","0","1","24","25","4.00"
"2017-01-31T00:00:00.000","Tarrant","TX","Passenger","0","2","2","321","323","0.6191950464396284829721362229"
"2017-01-31T00:00:00.000","Okanogan","WA","Passenger","0","4","4","6763","6767","0.05911038865080537904536722329"
"2017-01-31T00:00:00.000","Skamania","WA","Passenger","7","7","14","8740","8754","0.1599268905643134567055060544"
"2017-01-31T00:00:00.000","Sumter","FL","Passenger","0","1","1","9","10","10.0"
"2017-01-31T00:00:00.000","Okanogan","WA","Truck","0","0","0","4620","4620","0"
"2017-01-31T00:00:00.000","Mason","WA","Truck","0","0","0","19810","19810","0"
"2017-01-31T00:00:00.000","Pima","AZ","Passenger","0","2","2","444","446","0.4484304932735426008968609865"
"2017-01-31T00:00:00.000","Polk","FL","Passenger","1","0","1","66","67","1.492537313432835820895522388"
"2017-01-31T00:00:00.000","Travis","TX","Passenger","0","1","1","202","203","0.4926108374384236453201970443"
"2017-01-31T00:00:00.000","Pierce","WA","Truck","0","0","0","142299","142299","0"
"2017-01-31T00:00:00.000","Montgomery","TN","Passenger","1","0","1","300","301","0.3322259136212624584717607973"
