time,zip,county,n_ev,n_bev,n_phev,m_ev,m_bev,m_phev
2017-01-31,98001,King,73,34,39,43,24,20
2017-01-31,98002,King,32,17,15,43,24,20
2017-01-31,98003,King,54,22,32,43,24,20
2017-01-31,98004,King,397,306,91,43,24,20
2017-01-31,98005,King,194,138,56,43,24,20
2017-01-31,98006,King,325,259,66,43,24,20
2017-01-31,98007,King,134,110,24,43,24,20
2017-01-31,98008,King,230,178,52,43,24,20
2017-01-31,98010,King,23,10,13,43,24,20
2017-01-31,98011,King,154,100,54,43,24,20
2017-01-31,98012,Snohomish,323,218,105,43,24,20
2017-01-31,98014,King,52,32,20,43,24,20
2017-01-31,98019,King,71,47,24,43,24,20
2017-01-31,98020,Snohomish,129,97,32,43,24,20
2017-01-31,98021,Snohomish,189,134,55,43,24,20
2017-01-31,98022,King,38,11,27,43,24,20
2017-01-31,98023,King,88,39,49,43,24,20
2017-01-31,98024,King,103,63,40,43,24,20
2017-01-31,98026,Snohomish,164,108,56,43,24,20
2017-01-31,98027,King,224,147,77,43,24,20
2017-01-31,98028,King,150,107,43,43,24,20
2017-01-31,98029,King,240,179,61,43,24,20
2017-01-31,98030,King,2,1,1,43,24,20
2017-01-31,98031,King,119,70,49,43,24,20
2017-01-31,98032,King,55,22,33,43,24,20
2017-01-31,98033,King,382,298,84,43,24,20
2017-01-31,98034,King,321,237,84,43,24,20
2017-01-31,98036,Snohomish,120,75,45,43,24,20
2017-01-31,98037,Snohomish,67,45,22,43,24,20
2017-01-31,98038,King,102,55,47,43,24,20
2017-01-31,98039,King,69,51,18,43,24,20
2017-01-31,98040,King,394,281,113,43,24,20
2017-01-31,98042,King,133,75,58,43,24,20
2017-01-31,98043,Snohomish,61,31,30,43,24,20
2017-01-31,98045,King,74,44,30,43,24,20
2017-01-31,98047,King,6,3,3,43,24,20
2017-01-31,98050,King,,,,43,24,20
2017-01-31,98051,King,17,12,5,43,24,20
2017-01-31,98052,King,654,509,145,43,24,20
2017-01-31,98053,King,359,299,60,43,24,20
2017-01-31,98055,King,105,42,63,43,24,20
2017-01-31,98056,King,133,82,51,43,24,20
2017-01-31,98057,King,,,,43,24,20
2017-01-31,98058,King,130,74,56,43,24,20
2017-01-31,98059,King,216,146,70,43,24,20
2017-01-31,98065,King,38,21,17,43,24,20
2017-01-31,98068,Kittitas,1,1,,43,24,20
2017-01-31,98070,King,101,69,32,43,24,20
2017-01-31,98072,King,387,290,97,43,24,20
2017-01-31,98074,King,358,278,80,43,24,20
2017-01-31,98075,King,294,235,59,43,24,20
2017-01-31,98077,King,9,7,2,43,24,20
2017-01-31,98087,Snohomish,87,51,36,43,24,20
2017-01-31,98092,King,93,48,45,43,24,20
2017-01-31,98101,King,50,33,17,43,24,20
2017-01-31,98102,King,87,59,28,43,24,20
2017-01-31,98103,King,301,214,87,43,24,20
2017-01-31,98104,King,82,34,48,43,24,20
2017-01-31,98105,King,220,145,75,43,24,20
2017-01-31,98106,King,77,45,32,43,24,20
2017-01-31,98107,King,148,103,45,43,24,20
2017-01-31,98108,King,60,39,21,43,24,20
2017-01-31,98109,King,113,76,37,43,24,20
2017-01-31,98110,Kitsap,258,181,77,43,24,20
2017-01-31,98112,King,259,167,92,43,24,20
2017-01-31,98115,King,355,253,102,43,24,20
2017-01-31,98116,King,143,99,44,43,24,20
2017-01-31,98117,King,224,161,63,43,24,20
2017-01-31,98118,King,163,109,54,43,24,20
2017-01-31,98119,King,125,90,35,43,24,20
2017-01-31,98121,King,133,50,83,43,24,20
2017-01-31,98122,King,186,109,77,43,24,20
2017-01-31,98125,King,193,116,77,43,24,20
2017-01-31,98126,King,101,68,33,43,24,20
2017-01-31,98133,King,178,117,61,43,24,20
2017-01-31,98134,King,33,22,11,43,24,20
2017-01-31,98136,King,88,56,32,43,24,20
2017-01-31,98144,King,142,86,56,43,24,20
2017-01-31,98146,King,66,42,24,43,24,20
2017-01-31,98148,King,117,7,110,43,24,20
2017-01-31,98154,King,,,,43,24,20
2017-01-31,98155,King,164,107,57,43,24,20
2017-01-31,98158,King,,,,43,24,20
2017-01-31,98164,King,,,,43,24,20
2017-01-31,98166,King,75,48,27,43,24,20
2017-01-31,98168,King,59,28,31,43,24,20
2017-01-31,98174,King,,,,43,24,20
2017-01-31,98177,King,176,124,52,43,24,20
2017-01-31,98178,King,60,36,24,43,24,20
2017-01-31,98188,King,56,20,36,43,24,20
2017-01-31,98195,King,,,,43,24,20
2017-01-31,98198,King,49,24,25,43,24,20
2017-01-31,98199,King,192,137,55,43,24,20
2017-01-31,98201,Snohomish,43,21,22,43,24,20
2017-01-31,98203,Snohomish,79,47,32,43,24,20
2017-01-31,98204,Snohomish,41,21,20,43,24,20
2017-01-31,98205,Snohomish,,,,43,24,20
2017-01-31,98207,Snohomish,,,,43,24,20
2017-01-31,98208,Snohomish,138,84,54,43,24,20
2017-01-31,98220,Whatcom,1,1,,43,24,20
2017-01-31,98221,Skagit,69,33,36,43,24,20
2017-01-31,98222,San Juan,,,,43,24,20
2017-01-31,98223,Snohomish,63,40,23,43,24,20
2017-01-31,98224,King,,,,43,24,20
2017-01-31,98225,Whatcom,129,90,39,43,24,20
2017-01-31,98226,Whatcom,113,77,36,43,24,20
2017-01-31,98229,Whatcom,93,68,25,43,24,20
2017-01-31,98230,Whatcom,40,28,12,43,24,20
2017-01-31,98232,Skagit,8,5,3,43,24,20
2017-01-31,98233,Skagit,11,5,6,43,24,20
